import time: self [us] | cumulative | imported package
import time:       111 |        111 | winreg
import time:       247 |        247 |   _io
import time:        43 |         43 |   marshal
import time:       212 |        212 |   nt
import time:       803 |       1304 | _frozen_importlib_external
import time:       509 |        509 |   time
import time:       277 |        786 | zipimport
import time:        74 |         74 |     _codecs
import time:       681 |        754 |   codecs
import time:      1537 |       1537 |   encodings.aliases
import time:      1759 |       4050 | encodings
import time:      1019 |       1019 | encodings.utf_8
import time:      1322 |       1322 | encodings.cp1252
import time:       117 |        117 | _signal
import time:        48 |         48 |     _abc
import time:       213 |        260 |   abc
import time:       208 |        468 | io
import time:        88 |         88 |       _stat
import time:       166 |        254 |     stat
import time:      1076 |       1076 |     _collections_abc
import time:       129 |        129 |       genericpath
import time:       142 |        142 |       _winapi
import time:       358 |        628 |     ntpath
import time:       785 |       2742 |   os
import time:        95 |         95 |   _sitebuiltins
import time:        57 |         57 |   errno
import time:       613 |        613 |   sitecustomize
import time:       963 |       4468 | site
import time:      1338 |       1338 |         django.utils
import time:       128 |        128 |           _datetime
import time:       673 |        800 |         datetime
import time:       169 |        169 |             itertools
import time:      1258 |       1258 |             keyword
import time:        92 |         92 |               _operator
import time:      1205 |       1297 |             operator
import time:      1112 |       1112 |             reprlib
import time:        97 |         97 |             _collections
import time:      1762 |       5693 |           collections
import time:       138 |        138 |           _functools
import time:      1153 |       6983 |         functools
import time:      1219 |       1219 |                 types
import time:      2166 |       3385 |               enum
import time:       105 |        105 |                 _sre
import time:      1645 |       1645 |                   re._constants
import time:      1373 |       3018 |                 re._parser
import time:      1046 |       1046 |                 re._casefix
import time:      1566 |       5733 |               re._compiler
import time:      1151 |       1151 |               copyreg
import time:      1250 |      11518 |             re
import time:       123 |        123 |             _locale
import time:      2540 |      14180 |           locale
import time:      1710 |       1710 |           signal
import time:      1453 |       1453 |             warnings
import time:      1247 |       1247 |             _weakrefset
import time:      1453 |       4152 |           threading
import time:      1466 |       1466 |           contextlib
import time:       630 |        630 |           fcntl
import time:       111 |        111 |           msvcrt
import time:      2206 |      24453 |         subprocess
import time:      1364 |       1364 |               weakref
import time:      1249 |       2613 |             copy
import time:      1020 |       3632 |           django.utils.functional
import time:      1034 |       4666 |         django.utils.regex_helper
import time:      1185 |      39422 |       django.utils.version
import time:      1536 |      40958 |     django
import time:       824 |      41781 |   django.core
import time:       955 |        955 |     importlib
